Cluster,CF
SOL-01,0.29632798
SOL-01,0.295802214
SOL-01,0.296354397
SOL-01,0.297696918
SOL-01,0.298582557
SOL-01,0.294992069
SOL-01,0.294010423
SOL-01,0.294739841
SOL-01,0.295353482
SOL-01,0.295795037
SOL-01,0.296575363
SOL-01,0.296050459
SOL-01,0.296488951
SOL-01,0.297661261
SOL-01,0.298434336
SOL-01,0.294841752
SOL-01,0.293974038
SOL-01,0.294874497
SOL-01,0.295885557
SOL-01,0.296552891
SOL-01,0.296765774
SOL-01,0.295900818
SOL-01,0.295999169
SOL-01,0.297003704
SOL-01,0.297891526
SOL-01,0.295884923
SOL-01,0.29485041
SOL-01,0.295691448
SOL-01,0.296755927
SOL-01,0.297590522
SOL-01,0.297408092
SOL-01,0.296715593
SOL-01,0.296587477
SOL-01,0.297024617
SOL-01,0.297573574
SOL-01,0.297487648
SOL-01,0.296347292
SOL-01,0.296901362
